Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
124,Kyle Kuzma,30,MIL,PF,30,15,26.7,5.1,10.0,.508,0.8,2.6,.308,4.3,7.4,.579,.548,2.5,3.4,.752,0.9,3.9,4.9,2.3,0.7,0.6,1.8,2.5,13.5,0.0,kuzmaky01
125,Derik Queen,21,NOP,C,33,21,25.8,5.1,10.0,.509,0.2,0.9,.226,4.9,9.1,.538,.520,3.1,3.9,.783,1.6,5.3,7.0,4.0,1.0,0.8,2.4,3.2,13.5,0.0,queende01
126,Reed Sheppard,21,HOU,SG,29,4,25.8,4.9,10.7,.453,2.7,6.3,.429,2.2,4.4,.488,.579,1.0,1.3,.789,0.3,2.7,3.0,3.5,1.6,0.6,1.2,2.1,13.4,0.0,sheppre01
127,Jaylon Tyson,23,CLE,SG,28,19,27.6,5.2,9.9,.527,1.9,4.3,.442,3.3,5.6,.592,.623,1.1,1.4,.775,2.1,3.6,5.8,1.9,1.0,0.6,1.3,3.3,13.4,0.0,tysonja01
128,Noah Clowney,21,BRK,PF,29,23,28.4,4.0,9.9,.401,2.2,6.7,.337,1.7,3.2,.532,.514,3.1,3.8,.818,0.8,3.1,4.0,1.9,0.7,0.8,1.8,2.8,13.3,0.0,clownno01
129,Keldon Johnson,26,SAS,SF,31,0,23.1,5.1,8.8,.582,1.2,2.9,.418,3.9,5.9,.665,.652,1.8,2.5,.731,2.2,4.3,6.5,1.5,0.6,0.1,0.9,1.9,13.3,0.0,johnske04
130,Naji Marshall,28,DAL,SF,33,13,28.4,4.7,8.8,.533,0.9,2.9,.316,3.8,5.9,.638,.584,3.0,3.7,.811,0.8,3.8,4.7,2.5,1.1,0.1,1.2,2.1,13.3,0.0,marshna01
131,Jarrett Allen,27,CLE,C,22,22,25.4,5.2,8.6,.603,0.0,0.2,.200,5.1,8.4,.614,.606,2.8,3.7,.765,2.1,5.2,7.3,2.0,1.0,0.9,1.6,1.8,13.2,0.0,allenja01
132,Tim Hardaway Jr.,33,DEN,SG,31,4,26.5,4.5,9.6,.465,2.7,6.6,.412,1.7,3.0,.581,.606,1.5,1.7,.906,0.2,2.1,2.3,1.4,0.5,0.1,0.4,1.2,13.2,0.0,hardati02
133,Mark Williams,24,PHO,C,27,23,24.0,5.1,7.7,.665,0.0,0.0,1.000,5.1,7.7,.663,.667,2.8,3.6,.776,3.2,5.0,8.2,1.1,1.3,0.9,1.0,2.4,13.1,0.0,willima07
134,Dennis Schröder,32,SAC,PG,25,12,27.8,4.4,11.0,.405,1.5,4.3,.346,3.0,6.7,.443,.473,2.5,3.0,.829,0.6,2.9,3.5,5.9,0.9,0.2,2.0,1.8,12.9,0.0,schrode01
135,Toumani Camara,25,POR,PF,32,32,33.6,4.6,11.1,.412,2.5,7.3,.341,2.1,3.8,.549,.524,1.2,1.8,.684,1.9,3.2,5.1,2.8,1.1,0.4,2.1,3.4,12.8,0.0,camarto01
136,Anfernee Simons,26,BOS,SG,31,0,23.5,4.5,10.7,.426,2.2,6.1,.367,2.3,4.6,.503,.530,1.5,1.7,.887,0.4,1.8,2.2,2.2,0.5,0.1,1.0,2.0,12.8,0.0,simonan01
137,Rui Hachimura,27,LAL,PF,27,27,32.5,5.0,9.5,.521,1.8,4.1,.445,3.1,5.4,.578,.617,1.0,1.3,.750,0.8,3.0,3.8,0.9,0.6,0.2,0.9,1.9,12.7,0.0,hachiru01
138,Bobby Portis,30,MIL,PF,32,5,23.6,5.2,10.6,.487,1.8,3.9,.460,3.4,6.7,.502,.571,0.6,0.9,.667,1.3,5.2,6.5,1.3,0.6,0.1,1.1,1.6,12.7,0.0,portibo01
139,Harrison Barnes,33,SAS,PF,31,31,29.6,4.3,9.2,.469,2.2,5.5,.400,2.1,3.7,.569,.587,1.8,2.0,.887,0.8,2.4,3.2,2.1,0.9,0.1,1.1,1.4,12.6,0.0,barneha02
140,Wendell Carter Jr.,26,ORL,C,31,31,30.3,4.4,8.3,.533,1.3,3.1,.406,3.2,5.2,.609,.609,2.5,3.2,.780,2.7,4.8,7.5,2.0,0.7,0.7,1.4,3.7,12.6,0.0,cartewe01
141,Brandin Podziemski,22,GSW,SG,32,11,27.8,4.4,9.6,.459,1.9,4.8,.396,2.5,4.8,.523,.559,1.7,2.3,.764,0.8,3.8,4.6,3.3,1.1,0.2,1.6,2.2,12.4,0.0,podzibr01
142,Cam Spencer,25,MEM,SG,31,4,23.3,4.0,8.1,.496,2.5,5.2,.481,1.5,2.9,.522,.651,1.8,2.0,.918,0.4,2.1,2.5,4.7,0.8,0.1,1.4,1.7,12.4,0.0,spencca01
143,Kel'el Ware,21,MIA,C,32,22,24.9,4.8,8.7,.560,1.3,2.7,.471,3.6,6.0,.599,.632,1.5,1.8,.814,3.4,7.3,10.6,0.5,1.0,1.3,1.1,1.7,12.4,0.0,wareke01
144,Jaylen Wells,22,MEM,SG,32,32,27.6,4.2,9.8,.429,1.8,5.0,.350,2.5,4.8,.510,.517,2.2,2.8,.789,0.9,2.8,3.6,1.8,1.0,0.1,1.1,2.1,12.4,0.0,wellsja01
145,John Collins,28,LAC,PF,30,21,26.9,4.8,9.3,.511,1.0,3.0,.337,3.8,6.4,.592,.564,1.8,2.2,.818,1.3,3.5,4.7,0.9,0.9,0.7,1.5,2.5,12.3,0.0,collijo01
146,Josh Hart,30,NYK,SF,28,14,30.3,4.6,9.3,.498,1.6,4.0,.389,3.0,5.2,.582,.583,1.5,1.8,.837,1.8,6.3,8.0,5.1,1.4,0.3,2.1,2.5,12.3,0.0,hartjo01
147,Myles Turner,29,MIL,C,32,32,28.8,4.0,9.7,.414,2.2,6.0,.366,1.8,3.7,.492,.528,2.1,2.9,.739,1.1,4.3,5.4,1.7,0.8,1.4,1.0,2.7,12.3,0.0,turnemy01
148,Tre Jones,26,CHI,PG,25,11,27.0,4.1,7.9,.518,0.4,1.6,.275,3.6,6.3,.580,.546,3.6,4.3,.841,0.7,2.3,3.0,5.0,1.5,0.2,1.4,1.5,12.2,0.0,jonestr01
